gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
347,1,2015,2016-02-28 18:05:00,82,84,2,1,8.519,974,507,0,1
348,1,2015,2016-02-28 18:05:00,89,83,3,2,2.349,2.833,4.818,2,1
349,1,2015,2016-03-01 23:45:00,71,72,1,3,406,1.041,8.553,0,2
350,1,2015,2016-03-01 23:45:00,73,74,2,0,4.826,3.075,2.099,1,0
351,1,2015,2016-03-01 23:45:00,75,76,2,2,7.895,1.435,67,2,1
352,1,2015,2016-03-01 23:45:00,77,78,2,2,3.515,3.282,3.203,1,0
353,1,2015,2016-03-01 23:45:00,79,80,1,2,4.305,3.041,2.654,0,2
354,1,2015,2016-03-02 23:45:00,81,82,1,0,199,2.961,5.049,1,0
355,1,2015,2016-03-02 23:45:00,83,84,1,2,2.983,2.716,4.301,1,1
356,1,2015,2016-03-02 23:45:00,85,86,1,0,2.002,614,1.858,0,0
357,1,2015,2016-03-03 00:00:00,87,88,3,0,6.854,2.704,442,2,0
358,1,2015,2016-03-03 00:00:00,89,90,1,0,969,1.716,7.315,0,0
359,1,2015,2016-03-05 16:45:00,82,83,2,2,7.353,1.861,786,0,1
360,1,2015,2016-03-05 19:00:00,74,77,1,1,4.147,2.789,3.064,0,0
361,1,2015,2016-03-05 19:00:00,84,79,1,0,2.762,4.246,2.992,0,0
362,1,2015,2016-03-05 19:00:00,80,85,1,1,2.301,2.578,5.121,1,0
363,1,2015,2016-03-05 19:00:00,72,81,2,3,2.512,2.213,5.275,1,0
364,1,2015,2016-03-05 19:00:00,88,71,4,0,9.594,378,28,0,0
365,1,2015,2016-03-05 19:00:00,86,73,1,3,2.406,2.977,4.617,0,1
366,1,2015,2016-03-05 21:30:00,90,75,0,1,1.857,2.834,5.309,0,0
367,1,2015,2016-03-06 17:30:00,78,87,1,2,1.751,2.328,5.921,0,0
368,1,2015,2016-03-06 20:00:00,76,89,1,0,3.171,4.628,2.201,0,0
369,1,2015,2016-03-12 16:45:00,79,88,0,0,732,5.371,3.897,0,0
370,1,2015,2016-03-12 19:00:00,85,74,1,2,4.052,3.218,273,0,2
371,1,2015,2016-03-12 19:00:00,73,84,3,2,2.141,3.125,4.734,1,1
372,1,2015,2016-03-13 20:00:00,71,82,0,2,3.505,2.544,3.951,0,1
373,1,2015,2016-03-14 00:00:00,75,86,1,0,4.128,3.765,2.107,1,0
374,1,2015,2016-03-19 16:45:00,72,83,0,2,621,1.765,7.614,0,2
375,1,2015,2016-03-19 19:00:00,78,75,0,1,2.303,3.048,4.649,0,1
376,1,2015,2016-03-19 19:00:00,80,81,2,2,7.106,188,1.014,1,1
377,1,2015,2016-03-19 19:00:00,90,85,1,2,1.641,2.743,5.616,0,1
378,1,2015,2016-03-19 19:00:00,76,79,0,1,1.296,3.914,479,0,0
379,1,2015,2016-03-19 21:30:00,84,71,1,0,2.134,4.131,3.735,0,0
380,1,2015,2016-03-20 17:30:00,74,87,3,2,4.416,0.28,2.784,0,2
381,1,2015,2016-03-20 17:30:00,86,77,1,1,3.775,0.34,2.825,0,1
382,1,2015,2016-03-20 20:00:00,88,89,0,1,6.074,2.416,151,0,1
383,1,2015,2016-03-20 20:00:00,82,73,3,0,894,965,95,2,0
384,1,2015,2016-04-02 15:45:00,71,80,0,4,442,1.162,8.396,0,2
385,1,2015,2016-04-02 18:00:00,83,90,4,0,9.558,384,58,2,0
386,1,2015,2016-04-02 18:00:00,73,88,0,4,4.982,2.815,2.203,0,3
387,1,2015,2016-04-02 18:00:00,79,86,3,2,4.074,2.903,3.023,1,0
388,1,2015,2016-04-02 18:00:00,85,84,2,2,6.017,289,1.093,1,0
389,1,2015,2016-04-02 18:00:00,77,76,0,0,7.948,1.948,104,0,0
390,1,2015,2016-04-02 18:00:00,81,78,2,2,372,2.703,3.577,2,1
391,1,2015,2016-04-02 20:30:00,87,82,1,1,3.938,2.732,333,0,0
392,1,2015,2016-04-03 16:30:00,75,74,1,0,5.671,2.844,1.485,1,0
393,1,2015,2016-04-03 19:00:00,89,72,1,0,4.179,3.492,2.329,0,0
394,1,2015,2016-04-09 15:45:00,81,83,3,3,2.672,2.662,4.666,2,2
395,1,2015,2016-04-09 18:00:00,90,72,1,1,705,2.082,7.213,1,1
396,1,2015,2016-04-09 18:00:00,74,86,3,1,8.328,1.432,24,2,0
